S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged,Death
1,1,Andaman and Nicobar Islands,33,16,0
2,2,Andhra Pradesh,1463,403,33
3,3,Arunachal Pradesh,1,1,0
4,4,Assam,42,29,1
5,5,Bihar,426,82,2
6,6,Chandigarh,56,17,0
7,7,Chhattisgarh,40,36,0
8,8,Delhi,3515,1094,59
9,9,Goa,7,7,0
10,10,Gujarat,4395,613,214
11,11,Haryana,313,209,3
12,12,Himachal Pradesh,40,28,1
13,13,Jammu and Kashmir,614,216,8
14,14,Jharkhand,111,20,3
15,15,Karnataka,576,235,22
16,16,Kerala,497,383,4
17,17,Ladakh,22,16,0
18,18,Madhya Pradesh,2719,482,137
19,19,Maharashtra,10498,1773,459
20,20,Manipur,2,2,0
21,21,Meghalaya,12,0,1
22,22,Mizoram,1,0,0
23,23,Odisha,143,41,1
24,24,Puducherry,8,5,0
25,25,Punjab,357,90,19
26,26,Rajasthan,2584,836,58
27,27,Tamil Nadu,2323,1258,27
28,28,Telengana,1039,441,26
29,29,Tripura,2,2,0
30,30,Uttarakhand,57,36,0
31,31,Uttar Pradesh,2281,555,41
32,32,West Bengal,795,139,33
